,Name,UTM Easting,UTM Northing,Year,Wasaga Easting,Wasaga Northing,In_Polygon,Sewer_Installation_Period,Year End
21,Untitled Placemark,573601.5363314396,4925200.339158627,1978,1551.087856098572,1069.0979132950267,True,1996-2000,2000.0
22,Untitled Placemark,573554.1128252759,4925408.359762211,1978,1627.310651592185,1266.0452973353547,True,1996-2000,2000.0
23,Untitled Placemark,573618.3879833885,4925359.00940064,1978,1652.7388948220469,1189.9732495573344,True,1996-2000,2000.0
24,Untitled Placemark,573586.1225858466,4925255.155174411,1978,1568.7798098959813,1122.6105703034455,True,1996-2000,2000.0
25,Untitled Placemark,573543.3282791054,4925140.389061068,1978,1470.1411991292175,1052.1214212000712,True,1996-2000,2000.0
26,Untitled Placemark,573484.3697387122,4925261.559154719,1978,1488.8273898177881,1184.1850369325152,True,1996-2000,2000.0
27,Untitled Placemark,573619.0496819288,4925343.474772248,1978,1644.683573423903,1176.859503585836,True,1996-2000,2000.0
28,Untitled Placemark,573638.2397328382,4925223.542002959,1978,1594.0487614261338,1067.822784200689,True,1996-2000,2000.0
29,Untitled Placemark,573593.3964185264,4925228.409893369,1978,1559.9453006958233,1096.6377507712473,True,1996-2000,2000.0
30,Untitled Placemark,573615.9347006495,4925380.662615666,1978,1662.710659561273,1209.0994515243951,True,1996-2000,2000.0
31,Untitled Placemark,573384.8215093421,4925178.479482958,1978,1361.15550818322,1171.1102194445716,True,1991-1995,1995.0
32,Untitled Placemark,573381.0273400639,4925155.87768554,1978,1345.532137574842,1154.6635424530298,True,1991-1995,1995.0
33,Untitled Placemark,573328.1267163615,4925144.778803622,1978,1295.9794699240729,1174.8360582033852,True,1996-2000,2000.0
34,Untitled Placemark,573334.4862584133,4925116.014369429,1978,1285.2771201560188,1147.7124026923284,True,1996-2000,2000.0
35,Untitled Placemark,573317.7035093758,4925157.13639549,1978,1294.2661665606647,1190.7456948517884,True,1996-2000,2000.0
36,Untitled Placemark,573296.6028279758,4925066.004414869,1978,1226.5103618905205,1127.6431260866457,True,1996-2000,2000.0
37,Untitled Placemark,573307.4502553545,4924949.625133886,1978,1170.9965381936854,1026.1399304383908,True,1991-1995,1995.0
38,Untitled Placemark,573233.5237023012,4925109.892692364,1978,1199.0403431165144,1198.5710682681993,True,1996-2000,2000.0
39,Untitled Placemark,573232.5401989765,4925129.644098112,1978,1209.1655510840164,1215.3231598571103,True,1996-2000,2000.0
40,Untitled Placemark,573223.9829071722,4925161.874298023,1978,1219.9827335904183,1246.5072129252044,True,1996-2000,2000.0
41,Untitled Placemark,573217.6465293972,4925194.968564215,1978,1233.100621666374,1277.1710472985367,True,1996-2000,2000.0
42,Untitled Placemark,573299.1692362638,4925257.0674841525,1978,1334.368318270208,1283.006344210585,True,1996-2000,2000.0
43,Untitled Placemark,573140.5080234911,4925222.388593127,1978,1184.9786164376749,1342.3671360646383,True,1996-2000,2000.0
44,Untitled Placemark,573347.4274353406,4925353.008693567,1978,1427.0710780974266,1335.0238140580084,True,1991-1995,1995.0
45,Untitled Placemark,573122.320608899,4924980.774954725,1978,1036.3229122726339,1154.1689332354767,True,1996-2000,2000.0
46,Untitled Placemark,573500.739369568,4925608.544168888,1978,1694.3137238714073,1459.85565993365,True,1991-1995,1995.0
47,Untitled Placemark,573473.5940660881,4925599.996013217,1978,1667.3073231102949,1467.8658868161476,True,1991-1995,1995.0
48,Untitled Placemark,573422.8635840411,4925553.220886591,1978,1599.7889057426953,1457.5618133272012,True,1991-1995,1995.0
49,Untitled Placemark,572262.9213322897,4924614.76808797,1978,128.52968205557596,1329.4999224758305,True,1991-1995,1995.0
50,Untitled Placemark,572191.9550843921,4924550.092032281,1978,34.49804374945409,1315.7069416394108,True,1996-2000,2000.0
51,Untitled Placemark,572202.2164790672,4924654.5544122085,1978,100.73755752045972,1395.7477164141958,True,1996-2000,2000.0
52,Untitled Placemark,573450.2631831493,4924083.578851145,1978,808.8366277543075,236.42845543318347,True,2001-2005,2005.0
53,Untitled Placemark,573459.1037585316,4924036.397173239,1978,789.976371213299,192.81863141105393,True,2001-2005,2005.0
