Name,UTM Easting,UTM Northing,Year
Untitled Placemark,573618.5913771539,4923957.649029305,1978
Untitled Placemark,573299.4472970769,4923893.240358802,1978
Untitled Placemark,573317.9788043157,4923840.828163196,1978
Untitled Placemark,573369.3777403046,4923877.497940123,1978
Untitled Placemark,573448.326472012,4923843.884072034,1978
Untitled Placemark,573428.3211157352,4923817.318341382,1978
Untitled Placemark,573373.9853798274,4923797.942016826,1978
Untitled Placemark,573278.2101664371,4923771.511179836,1978
Untitled Placemark,573311.3940531474,4923781.387314606,1978
Untitled Placemark,573260.1845433168,4923757.579155023,1978
Untitled Placemark,573190.9152157851,4923794.6049922425,1978
Untitled Placemark,573195.2861388539,4923754.12182467,1978
Untitled Placemark,573225.1530878589,4923736.754017831,1978
Untitled Placemark,573082.769657889,4923698.186268836,1978
Untitled Placemark,573145.2538995545,4923770.107016704,1978
Untitled Placemark,573152.4023628193,4923731.95668584,1978
Untitled Placemark,573048.7131842994,4923684.9626652775,1978
Untitled Placemark,573063.9749920595,4923646.875388906,1978
Untitled Placemark,573092.6561240449,4923768.888365456,1978
Untitled Placemark,572909.9014751517,4923917.563952624,1978
Untitled Placemark,572909.995525162,4923881.4414562555,1978
Untitled Placemark,572812.5089443871,4923625.275637551,1978
Untitled Placemark,572827.4950079131,4923565.2721338235,1978
Untitled Placemark,572892.6702291673,4923581.072813278,1978
Untitled Placemark,572897.4069993846,4923529.484655814,1978
Untitled Placemark,572952.671235003,4923544.102865073,1978
Untitled Placemark,573004.4551053478,4923562.726560433,1978
Untitled Placemark,573041.8608667748,4923576.016288483,1978
Untitled Placemark,572845.6246568166,4923650.462493595,1978
Untitled Placemark,574218.8920063637,4924496.329915737,1978
Untitled Placemark,574532.8486054831,4924587.069309728,1978
Untitled Placemark,574550.015942528,4924658.531734574,1978
Untitled Placemark,574404.6895094925,4924543.157819633,1978
Untitled Placemark,574327.5228413658,4924520.088555013,1978
Untitled Placemark,574254.5190894015,4924434.861392765,1978
Untitled Placemark,574553.7471871423,4924705.779263441,1978
Untitled Placemark,574541.9391244198,4924760.667299479,1978
Untitled Placemark,574530.5702800049,4924818.070431232,1978
Untitled Placemark,574025.65918791,4924419.218864277,1978
Untitled Placemark,573521.1826872805,4924107.01917314,1978
Untitled Placemark,573521.4207749565,4924150.340552853,1978
Untitled Placemark,573503.8513999397,4923884.944005323,1978
Untitled Placemark,572985.1276137673,4923665.988130389,1978
Untitled Placemark,572979.476876778,4923617.126047166,1978
Untitled Placemark,573516.329010261,4924444.2265316965,1978
Untitled Placemark,573346.301057837,4924518.4956834605,1978
Untitled Placemark,573417.1097548576,4924691.733735024,1978
Untitled Placemark,573226.5681675487,4924613.954493118,1978
Untitled Placemark,573091.0073888235,4924419.254634712,1978
Untitled Placemark,573361.3244729262,4924970.942683717,1978
Untitled Placemark,573385.0080803607,4925069.059967925,1978
Untitled Placemark,573535.21987927,4925229.251775732,1978
Untitled Placemark,573461.2079276085,4925399.890397855,1978
Untitled Placemark,573169.3696731061,4925187.475497227,1978
Untitled Placemark,573178.129496309,4925148.00465685,1978
Untitled Placemark,573565.8817273041,4925363.010082839,1978
Untitled Placemark,573421.289878875,4925269.258618764,1978
Untitled Placemark,573346.8936914753,4925301.091202033,1978
Untitled Placemark,573300.0406358138,4925453.0033867555,1978
Untitled Placemark,573279.4891278738,4925311.626508767,1978
Untitled Placemark,573521.2005384393,4925631.661352186,1978
Untitled Placemark,573540.8013178314,4925641.217639218,1978
Untitled Placemark,573596.9843029513,4925683.2542806,1978
Untitled Placemark,573288.3923937038,4924847.820300045,1978
Untitled Placemark,573292.3752731602,4924831.350344655,1978
Untitled Placemark,573297.5787317225,4924771.265315138,1978
Untitled Placemark,573306.2583355219,4924734.271843157,1978
Untitled Placemark,572965.5658595538,4924815.462093585,1978
Untitled Placemark,573316.0930292457,4924710.399623618,1978
1,572977.3485975593,4924503.651451226,1978
2,572972.0097123447,4924539.441565562,1978
Untitled Placemark,572964.0115300658,4924594.87484809,1978
Untitled Placemark,572947.8228366674,4924666.53142477,1978
Untitled Placemark,572940.9123472561,4924702.638798116,1978
Untitled Placemark,572931.9818791334,4924745.270018654,1978
Untitled Placemark,573020.6250000764,4924761.496661462,1978
Untitled Placemark,573003.1210768878,4924684.166108116,1978
Untitled Placemark,573030.528288836,4924735.756989399,1978
Untitled Placemark,573149.4499757378,4924730.944468849,1978
Untitled Placemark,573199.1224002825,4924787.631253139,1978
Untitled Placemark,573163.5355903364,4924637.302366911,1978
Untitled Placemark,573097.982923812,4924694.202548585,1978
Untitled Placemark,573109.2540486124,4924618.902184631,1978
Untitled Placemark,573057.1024297838,4925026.606261652,1978
Untitled Placemark,572763.505066452,4924482.232511219,1978
Untitled Placemark,572707.7996788048,4924565.449451821,1978
Untitled Placemark,572490.6622567751,4924531.238644771,1978
Untitled Placemark,572830.1577540047,4924670.778070494,1978
Untitled Placemark,572611.6310913989,4924469.060889714,1978
Untitled Placemark,572674.8582804562,4924422.674794779,1978
Untitled Placemark,572620.41883198,4924650.764150664,1978
Untitled Placemark,572800.7972763279,4924621.881998817,1978
Untitled Placemark,572791.2320477957,4924707.52257471,1978
Untitled Placemark,572816.337221193,4924713.9842940755,1978
Untitled Placemark,572767.868393542,4924703.025233305,1978
Untitled Placemark,572624.7657856883,4924407.220492472,1978
Untitled Placemark,572759.2848209947,4924374.533708569,1978
Untitled Placemark,572727.8759398166,4924298.267875703,1978
Untitled Placemark,572831.7843816796,4924326.491999241,1978
Untitled Placemark,572704.3189317485,4924531.1088026175,1978
Untitled Placemark,572922.996209992,4924471.860285579,1978
Untitled Placemark,573076.2395823876,4924553.62872731,1978
Untitled Placemark,573083.914064909,4924524.318518773,1978
Untitled Placemark,573014.5512033298,4924566.332835428,1978
Untitled Placemark,573007.6098400678,4924616.5217069015,1978
Untitled Placemark,573003.7430612184,4924643.726652039,1978
